LASTNAME,FIRSTNAME,MIDDLENAME,SUFFIX,BIRTHDATE,SEX,CITY,POSITION,BARANGAY
MACATANGAY,ELMA,RABINO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
BADAL,TERESITA,MALALUAN,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
DAGLE,TEODOCIA,PEREZ,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
PANGILINAN,MAY,SOLAS,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
FERRERA,MAGDALINA,CEPEDA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
SILANG,EDRALYN,VICEDO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
CURAMING,JENNIFER,MENDOZA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
ACEVEDA,MARILYN,MACATANGAY,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
SABALLA,OFELIA,MIRAPLES,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
BANTA,JESSA,DELOS SANTOS,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
RENDON,ROWENA,MINIANO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
ACEDERA,DIANNA,BAITA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
BONDUQUIN,PRESCILLA,MORALES,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
MARCINO,NORA,DEL ESPIRITU,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Canubing II
DIMASACAT,ROLANDO,DUTADO,SR.,,,CITY OF CALAPAN (Capital),Punong Barangay,Comunal
RAMIREZ,RONETTE,ARMADA,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Comunal
QUITAIN,PERFECTO,MARASIGAN,JR.,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Comunal
MARASIGAN,ROMEO,CUASAY,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Comunal
CATAPANG,MELECIO,FRANCISCO,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Comunal
GUNAY,TIBORCIO,PANILAY,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Comunal
DE VILLA,CHRISTIAN REY,MARTINEZ,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Comunal
AGUADO,JOHN GIL,QUIÑONES,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Comunal
QUIÑONES,JON CHRISTIAN,PIEDAD,,,,CITY OF CALAPAN (Capital),SK Chairperson,Comunal
ARCAYOS,RONEL,ABIUL,,,,CITY OF CALAPAN (Capital),SK Member,Comunal
UMANDAL,DEO NICKO,ADORA,,,,CITY OF CALAPAN (Capital),SK Member,Comunal
VIVAS,LOUR ELIZABETH,VETONIO,,,,CITY OF CALAPAN (Capital),SK Member,Comunal
EBARDONI,RHENALYN,BENDICION,,,,CITY OF CALAPAN (Capital),SK Member,Comunal
ARGUELLES,RONALD,YTURIAGA,JR.,,,CITY OF CALAPAN (Capital),SK Member,Comunal
GACILO,LLYOD VINCENT PATRICK,,,,,CITY OF CALAPAN (Capital),SK Member,Comunal
QUIMAÑO,JAINA MAE,LIWANAG,,,,CITY OF CALAPAN (Capital),SK Member,Comunal
QUITAIN,MYRACEL,MARQUEZ,,,,CITY OF CALAPAN (Capital),Barangay Treasurer,Comunal
SAGABAIN,MA. CHRISTEL,DILIDILI,,,,CITY OF CALAPAN (Capital),Barangay Secretary,Comunal
OPREDO,ROBERTO,,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Comunal
RAMILO,EDMON,RABINO,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Comunal
DE VILLA,NESTOR,REYES,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Comunal
DELOS SANTOS,RIC,QUIÑONES,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Comunal
CUEVA,NOWELITO,LEGAZPI,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Comunal
BRUCE,GREGORIO,GERON,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Comunal
ARCAYOS,GERMAN,DIPASUPIL,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Comunal
QUITAIN,RODERICK,MARASIGAN,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Comunal
DALANGIN,ARNEL,ARMADA,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Comunal
MAHIA,MANUELO,DE CASTRO,,,,CITY OF CALAPAN (Capital),Lupon Member,Comunal
DALISAY,WELLA,QUIÑONES,,,,CITY OF CALAPAN (Capital),Lupon Member,Comunal
MANALO,CORAZON,CANTOS,,,,CITY OF CALAPAN (Capital),Lupon Member,Comunal
DE VILLA,ROLDAN,REYES,,,,CITY OF CALAPAN (Capital),Lupon Member,Comunal
AGUADO,PHILIP,SEMERA,SR.,,,CITY OF CALAPAN (Capital),Lupon Member,Comunal
BUENO,ELIAS,GAA,,,,CITY OF CALAPAN (Capital),Lupon Member,Comunal
RAMIREZ,MA. NANETTE,BALAN,,,,CITY OF CALAPAN (Capital),Lupon Member,Comunal
VIVAS,RICARDO,LAT,,,,CITY OF CALAPAN (Capital),Lupon Member,Comunal
MALAZARTE,MARIA SHERYLL,QUIÑONES,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Comunal
ARCAYOS,MENCHIE,DE CASTRO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Comunal
DE VILLA,CRISTINE,ARELLANO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Comunal
RAMIREZ,MACARIA,CEPILLO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Comunal
ARMADA,MARILYN,ENRIQUEZ,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Comunal
DALISAY,MARILOU,MALLARI,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Comunal
QUIMAÑO,MARIA ELENA,LIWANAG,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Comunal
HIMAN,ROLINDA,DINGLASAN,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Comunal
PADUA,ROSSANA,ARELLANO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Comunal
ARELLANO,RONELYN,ALAGAO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Comunal
TEJADA,CHRISTINE,MARCADA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Comunal
ILAGAN,PEDRO,BARANGCO,JR.,,,CITY OF CALAPAN (Capital),Punong Barangay,Guinobatan
MENDOZA,RHEA,ILAGAN,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Guinobatan
MONTOYA,ERWIN,CUZ,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Guinobatan
RABINO,SALVADOR,ESTEVES,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Guinobatan
YLAGAN,LORENZO,TIAMSIM,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Guinobatan
ROLLAN,MARIE ANTONETTE,MARQUEZ,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Guinobatan
MENDOZA,MANOLO,MANALO,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Guinobatan
ISANAN,SIXTA,TASINCO,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Guinobatan
VILLAFRANCA,JHONEMMAN,MONTOYA,,,,CITY OF CALAPAN (Capital),SK Chairperson,Guinobatan
FLORES,CARLO,ADORA,,,,CITY OF CALAPAN (Capital),SK Member,Guinobatan
CAPILI,APRIL JOY,TENORIO,,,,CITY OF CALAPAN (Capital),SK Member,Guinobatan
BARANGCO,ALEXIS,MANALO,,,,CITY OF CALAPAN (Capital),SK Member,Guinobatan
CARPIO,ROSANA,GALICIA,,,,CITY OF CALAPAN (Capital),SK Member,Guinobatan
BARANGCO,LAUREN JELL,CORTEZA,,,,CITY OF CALAPAN (Capital),SK Member,Guinobatan
EVANGELISTA,JAN CRIS,PALERMO,,,,CITY OF CALAPAN (Capital),SK Member,Guinobatan
ACAPULCO,KIMBERLY ELLA,DE GUZMAN,,,,CITY OF CALAPAN (Capital),SK Member,Guinobatan
MONTOYA,ELLEN,MATIBAG,,,,CITY OF CALAPAN (Capital),Barangay Treasurer,Guinobatan
ACAPULCO,LILIBETH,SALUDO,,,,CITY OF CALAPAN (Capital),Barangay Secretary,Guinobatan
RAMIREZ,ARIENE,TOMELEON,,,,CITY OF CALAPAN (Capital),Nutrition Scholar,Guinobatan
ACLAN,FRANCIS,MARASIGAN,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Guinobatan
LAYLAY,DENNIS,VITTO,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Guinobatan
DELOS REYES,ARNEL,CLEOFE,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Guinobatan
REGALA,JOHN JOHN,TABALAN,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Guinobatan
TOMELDEN,ALEX,BARANGCO,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Guinobatan
FERRER,ALLAN,SANTILLAN,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Guinobatan
ILAGAN,JHERIC,ALMAREZ,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Guinobatan
ABES,ROBERTO,BORNEO,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Guinobatan
ARCEGA,TERESITA,ILAGAN,,,,CITY OF CALAPAN (Capital),Day Care Worker,Guinobatan
YTURIAGA,GINA,TILLAS,,,,CITY OF CALAPAN (Capital),Lupon Member,Guinobatan
NAPONE,BONIFACIO,ESPIRITO,,,,CITY OF CALAPAN (Capital),Lupon Member,Guinobatan
MENDOZA,ALIPIO,MACALALAD...,,,,CITY OF CALAPAN (Capital),Lupon Member,Guinobatan
CAPIO,RENEE,RONQUILO,,,,CITY OF CALAPAN (Capital),Lupon Member,Guinobatan
ILAGAN,SAMUEL,MENDOZA,,,,CITY OF CALAPAN (Capital),Lupon Member,Guinobatan
MACALALAD,VALERIANO,ALOT,,,,CITY OF CALAPAN (Capital),Lupon Member,Guinobatan
DELMO,ROMEO,UMALI,,,,CITY OF CALAPAN (Capital),Lupon Member,Guinobatan
ENERO,GLORIA,DELA VIRGEN,,,,CITY OF CALAPAN (Capital),Lupon Member,Guinobatan
AZUCENAS,RUEL,BELTRAN,,,,CITY OF CALAPAN (Capital),Lupon Member,Guinobatan
DIZON,DANILO,MENDOZA,,,,CITY OF CALAPAN (Capital),Lupon Member,Guinobatan
AYTIN,JANET,CABADING,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
RAVARRA,JENNIFER,SULANGUIT,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
MONTOYA,EMILY,DELA PEÑA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
INOG,MELINDA,MACALALAD,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
TOLENTINO,EMELIANA,ACLAN,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
MACALALAD,MERLINDA,PARACHA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
UBANDO,CORNELIA,BARANGCO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
MENDOZA,KATHY,FLORES,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
RAMIREZ,ELISA,PEROON,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
LIWAG,ANA,MENDOZA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
LOPEZ,ROBELYN,BACONAWA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
ISANAN,MARIA LOLET,OBANDO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Guinobatan
PESIG,MENANDRO,MACARAIG,,,,CITY OF CALAPAN (Capital),Punong Barangay,Gulod
PETALLO,ROBERT,AYAP,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gulod
CLEOFE,NINIA,RABANO,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gulod
GONZALES,CELEDONIO,VALENTON,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gulod
VALENTON,MARIEL,ALCOS,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gulod
PEREZ,JEFFREY,LALONG-ISIP,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gulod
SISCAR,VALENTIN,PESIG,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gulod
LALONG-ISIP,RICHARD,PLATA,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gulod
RABANO,SIENA MAE,MEDILLA,,,,CITY OF CALAPAN (Capital),SK Chairperson,Gulod
MERCADO,BABY JEAN,RICAFRANCA,,,,CITY OF CALAPAN (Capital),SK Member,Gulod
DE TORES,LEMUEL,MANUBAY,,,,CITY OF CALAPAN (Capital),SK Member,Gulod
PALOMO,RALPH,ALDA,,,,CITY OF CALAPAN (Capital),SK Member,Gulod
VILLANUEVA,RUZZLE DAVE,ALDA,,,,CITY OF CALAPAN (Capital),SK Member,Gulod
SAMARITA,KAYRO,LALONG-ISIP,,,,CITY OF CALAPAN (Capital),SK Member,Gulod
LALONG-ISIP,ALFRED,YANONG,,,,CITY OF CALAPAN (Capital),SK Member,Gulod
LALONG-ISIP,MARK JUSTINE,SAMBILLO,,,,CITY OF CALAPAN (Capital),SK Member,Gulod
ARCEGA,MIRRIAM,PACALIWAGAN,,,,CITY OF CALAPAN (Capital),Barangay Treasurer,Gulod
SISCAR,ROSEMARIE,CASTILLO,,,,CITY OF CALAPAN (Capital),Barangay Secretary,Gulod
CAPIO,LORENA MAE,MACALINTAL,,,,CITY OF CALAPAN (Capital),Nutrition Scholar,Gulod
HERNANDEZ,ALBERT,AYAP,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gulod
CASARENO,RODANTE,TUVERA,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gulod
ORDOÑEZ,RENIE,LALONG-ISIP,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gulod
LALONG ISIP,DARWIN,ALDA,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gulod
LUMANGLAS,GLENDO,RAMIREZ,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gulod
AMPARO,JUAN,DE TORRES,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gulod
PANGANIBAN,ROGER,DELA PENA,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gulod
CALINGASAN,JERRY,LALONGISIP,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gulod
CALINGASAN,JERRY,LALONG IDIP,,,,CITY OF CALAPAN (Capital),Day Care Worker,Gulod
PUBLICO,ERMA,RABANO,,,,CITY OF CALAPAN (Capital),Day Care Worker,Gulod
PESIG,BEBERLY,MORALETA,,,,CITY OF CALAPAN (Capital),Lupon Member,Gulod
PESIG,FEDERICO,BARRUEL,,,,CITY OF CALAPAN (Capital),Lupon Member,Gulod
CALINGASAN,FE,COGLING,,,,CITY OF CALAPAN (Capital),Lupon Member,Gulod
RAMIREZ,LEONA,LUMANGLAS,,,,CITY OF CALAPAN (Capital),Lupon Member,Gulod
CAPIO,REYNALDO,SISCAR,,,,CITY OF CALAPAN (Capital),Lupon Member,Gulod
RABANO,CARLITO,MACARAIG,,,,CITY OF CALAPAN (Capital),Lupon Member,Gulod
BISCO,TRISHA KAREN,SERVAN,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gulod
PANGANIBAN,ROXANNE,SAGUIPED,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gulod
ESPITA,LEAH,SAMPAGA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gulod
PESIG,MARIA,UNTALAN,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gulod
GARCIA,LIEZEL,LABAY,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gulod
BISA,SANDY,ZARSUELA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gulod
CAPIO,DELFINA,HERNANDEZ,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gulod
SUMILING,ELYN,TABUHADA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gulod
TINIO,FRANCISCO,GAMBOA,,,,CITY OF CALAPAN (Capital),Punong Barangay,Gutad
BONQUIN,MARCIANO,DELA VEGA,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gutad
MAALA,LENIE,LUNA,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gutad
BARBOZA,BEN,MACARANAS,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gutad
CARINGAL,MARK CHRISTIAN,MENDOZA,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gutad
BRUCAL,LUIS,ATIENZA,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gutad
MARQUEZ,SATURNINO,ATIENZA,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gutad
CUASAY,FELIX,BRUCAL,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Gutad
ALFANTE,MAUREEN,SALAZAR,,,,CITY OF CALAPAN (Capital),SK Chairperson,Gutad
DELA CRUZ,REYNEL,MELENDREZ,,,,CITY OF CALAPAN (Capital),SK Member,Gutad
ANYAYAHAN,JOSE DEXTER,BRUCAL,,,,CITY OF CALAPAN (Capital),SK Member,Gutad
CARINGAL,JEMUEL,DELOS REYES,,,,CITY OF CALAPAN (Capital),SK Member,Gutad
PILAPIL,MOISES,PEDRAZA,,,,CITY OF CALAPAN (Capital),SK Member,Gutad
ATIENZA,ABEGAIL,GUILLERMO,,,,CITY OF CALAPAN (Capital),SK Member,Gutad
DELOS REYES,SHYNE DIANNE,SORIANO,,,,CITY OF CALAPAN (Capital),SK Member,Gutad
REYES,LEAN KENNETH,VALDEZ,,,,CITY OF CALAPAN (Capital),SK Member,Gutad
ALCOBERA,ELSIE,ALFANTE,,,,CITY OF CALAPAN (Capital),Barangay Treasurer,Gutad
BONQUIN,IRENE,SOLMERIN,,,,CITY OF CALAPAN (Capital),Barangay Secretary,Gutad
ZAMORA,JONATHAN,BAYLON,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gutad
ALFANTE,GERRY,DELA VEGA,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gutad
BONQUIN,EDWIN,DELA VEGA,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gutad
CEDA,RODOLFO,SAYNO,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gutad
SORIANO,VICENTE,FRANCISCO,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gutad
NOGOY,FERNANDO,MAGNO,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gutad
CLANOR,RONELLON,ATIENZA,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gutad
SORIANO,ROOSEVERT,FRANCISCO,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Gutad
RICO,WELLINGTON,REARTE,,,,CITY OF CALAPAN (Capital),Lupon Member,Gutad
PASCUA,LEONARDO,RUIZ,,,,CITY OF CALAPAN (Capital),Lupon Member,Gutad
PILAPIL,CESAR,CORTEZANO,,,,CITY OF CALAPAN (Capital),Lupon Member,Gutad
LUMANGLAS,MA. PILAR,VALDEZ,,,,CITY OF CALAPAN (Capital),Lupon Member,Gutad
DEL MUNDO,ANDRES,MARASIGAN,,,,CITY OF CALAPAN (Capital),Lupon Member,Gutad
ALFANTE,CELSO,DELA VEGA,,,,CITY OF CALAPAN (Capital),Lupon Member,Gutad
TINIO,NICOLAS,GAMBOA,,,,CITY OF CALAPAN (Capital),Lupon Member,Gutad
BONQUIN,RUFINO,DELA VEGA,,,,CITY OF CALAPAN (Capital),Lupon Member,Gutad
ALFANTE,HILARIO,DELA VEGA,,,,CITY OF CALAPAN (Capital),Lupon Member,Gutad
BONQUIN,LHEA,FELECIA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gutad
HINGGOY,RANCELLE,SOTTO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gutad
TINIO,EDNA,DELOS REYES,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gutad
DELA CRUZ,MARINEL,MELENDREZ,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gutad
MARCO,AIRENE,BENEDICTO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gutad
MURO,MARIA,REAL,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gutad
PETALCO,ROSELLE,LATOMBO,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gutad
HINGGOY,SHERLYN,,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Gutad
ZAMORA,TERESITA,MONOG,,,,CITY OF CALAPAN (Capital),Punong Barangay,Ibaba East
BORBE,JOERGE KRISTOPHER,REDUBLO,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba East
SABADO,LIZEL,ILAO,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba East
MARASIGAN,MARIO,MINDORO,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba East
BUÑAG,NIMFA,DRIZ,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba East
ADEVA,LEO EDWIN JAMES,AXALAN,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba East
ACEDERA,ANTONIO,TANGI,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba East
ZAMORA,JERSON,ANGLO,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba East
MENDOZA,ANGELICA,ZAMORA,,,,CITY OF CALAPAN (Capital),SK Chairperson,Ibaba East
ZAMORA,AEROS,FARRANCO,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba East
ALEJO,CHRISTINE KASSANDRA,DIAZ,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba East
MANAO,JARRED,ZAMORA,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba East
SAMSON,BLAIR JESTER,CUETO,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba East
PANGILINAN,SPINEL,DEL MUNDO,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba East
,,,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba East
,,,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba East
ACEDERA,IMELDA,CAIDO,,,,CITY OF CALAPAN (Capital),Barangay Treasurer,Ibaba East
ABELGAS,MICAH CELESTY,,,,,CITY OF CALAPAN (Capital),Barangay Secretary,Ibaba East
CLAVERIA,BILL CLINTON,MACALALAD,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba East
PORCINO,JOEY,ATIENZA,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba East
BRIMON,AMPARO,DE LEON,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba East
MADRID,APRIL,JAVIER,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba East
MARASIGAN,ROLAN,MACALALAD,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba East
LOZADA,IAN,ROXAS,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba East
ESPALDON,ADRIAN,M,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba East
CEPILLO,MARY ANN,ROA,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Ibaba East
TEBORAN,EDISA,JIMENEZ,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Ibaba East
VILLAFRANCA,DELIA,MACALALAD,,,,CITY OF CALAPAN (Capital),Barangay Health Worker,Ibaba East
ABAO,DONNA VILLA,ASINAS,,,,CITY OF CALAPAN (Capital),Punong Barangay,Ibaba West
ESCAREZ,SOFIO,RAYOS,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba West
PANTOJA,RANDY,CHAVEZ,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba West
BARRIENTOS,JERIC,MACATANGAY,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba West
BALITON,MINDA,LASIC,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba West
ABAC,ARNEL,NABLE,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba West
MORTERIA,VAL,MONZALES,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba West
PORCINO,RAYMUND,RAYOS,,,,CITY OF CALAPAN (Capital),Sangguniang Barangay Member,Ibaba West
FERNANDEZ,CARL JAYBIEN,SALUDARES,,,,CITY OF CALAPAN (Capital),SK Chairperson,Ibaba West
RAYOS,NATHANIEL,EVORA,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba West
VILLAR,ADRIAN,RAÑON,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba West
EVORA,MARK JUSTINE,MADRIGAL,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba West
MALLEN,JOEMARK,EVORA,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba West
AGUA,TYRONE,ALCALA,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba West
PORCINO,PRINCE AHRRON,MERCADO,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba West
MIRANDA,JOHN PAUL,RECAÑA,,,,CITY OF CALAPAN (Capital),SK Member,Ibaba West
ABAC,ROSEMARIE,GENERATO,,,,CITY OF CALAPAN (Capital),Barangay Treasurer,Ibaba West
ILAO,WENELYN,RAYOS,,,,CITY OF CALAPAN (Capital),Barangay Secretary,Ibaba West
BARRO,LIGAYA,FLORES,,,,CITY OF CALAPAN (Capital),Nutrition Scholar,Ibaba West
LORICA,ROWENA,MADRIGAL,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba West
TABERNILLA,REYNALDO,AGUA,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba West
ALON,ERWIN,GATCHALIAN,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba West
MATRICIO,DEBORAH,ASUNCION,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba West
FERNANDEZ,JOSE ZALDY,CAAWAY,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba West
VELASCO,NELSON,AGUA,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba West
ACEDILLO,HARVEY KRIZ,BARRIENTOS,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba West
CARANDANG,NEMESIO,EVORA,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba West
CUALES,MARK ANGELO,POLITICO,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba West
ALMAZAN,JEFFREY,EVANGELIO,,,,CITY OF CALAPAN (Capital),Barangay Tanod,Ibaba West
BARRO,GECELLE,FRONDA,,,,CITY OF CALAPAN (Capital),Day Care Worker,Ibaba West
ROSAS,JOSEPH,A,,,,CITY OF CALAPAN (Capital),Lupon Member,Ibaba West
ROBREDILLO,EXUR,SOLEJON,,,,CITY OF CALAPAN (Capital),Lupon Member,Ibaba West
ALVAREZ,NOMAR,ABAC,,,,CITY OF CALAPAN (Capital),Lupon Member,Ibaba West
BARQUILLLA,MYRA,LEGASPI,,,,CITY OF CALAPAN (Capital),Lupon Member,Ibaba West
